categoria,office,titolo,data_inizio,data_fine,paese,citta,settore,tipologia,descrizione,public
"Iniziative promozionali in Italia e all'estero","Belgrado","FIERA AGRICOLA VERONA","2024-01-31","2024-02-03","Italia","Verona","Macchine agricole","Fiera. Incoming di operatori esteri","Missione di 3 operatori serbi. Visita alla Fiera e incontri B2B con gli espositori italiani",True
"Iniziative promozionali in Italia e all'estero","Belgrado","MIDO","2024-02-02","2024-02-05","Italia","Milano","Occhialeria","Fiera. Incoming operatori esteri a contributo con IES - International Eyewear solutions SRL","Missione di 4 operatori serbi. Visita alla Fiera e incontri B2B con gli espositori italiani",True
"Iniziative promozionali in Italia e all'estero","Belgrado","MICAM","2024-02-18","2024-02-21","Italia","Milano","Calzature","Fiera. Incoming operatori esteri a contributo","Missione di 4 operatori serbi. Visita alla Fiera e incontri B2B con gli espositori italiani",True
"Iniziative promozionali in Italia e all'estero","Belgrado","PROMOZIONE DI POMODORO DI PACHINO","2024-02-20","2024-02-22","Italia","Catania","Agroalimentare","Mostra. Incoming operatori esteri","Missione di 3 operatori serbi. Incontri B2B e visite aziendali",True
"Iniziative promozionali in Italia e all'estero","Belgrado","SIRHA BUDAPEST 2024","2024-03-05","2024-03-07","Ungheria","Budapest","Agroalimentare","Fiera. Incoming operatori esteri","Missione di 4 operatori serbi. Visita alla Fiera e B2B con gli espositori italiani",True
"Iniziative promozionali in Italia e all'estero","Belgrado","EXPOCOMFORT","2024-03-12","2024-03-15","Italia","Milano","Climatizzazione","Fiera. Incoming operatori esteri","Missione di 6 operatori serbi. Visita alla Fiera e B2B con gli espositori italiani",True
"Iniziative promozionali in Italia e all'estero","Belgrado","COSMOPROF","2024-03-22","2024-03-24","Italia","Bologna","Cosmetica","Fiera. Incoming operatori esteri","Missione di 1 operatore serbo. Visita alla Fiera e B2B con gli espositori italiani",True
"Iniziative promozionali in Italia e all'estero","Belgrado","BOLOGNA CHILDREN'S BOOK FAIR","2024-04-08","2024-04-11","Italia","Bologna","Editoria","Fiera. Incoming operatori esteri","Missione di 1 operatore serbo. Visita alla Fiera e B2B con gli espositori italiani",True
"Iniziative promozionali in Italia e all'estero","Belgrado","VINITALY","2024-04-14","2024-04-17","Italia","Verona","Vino","Fiera. Incoming operatori esteri","Missione di 6 operatori serbi. Visita alla Fiera, degustazione guidate con consorzi, agenda B2B",True
"Iniziative promozionali in Italia e all'estero","Belgrado","SALONE DEL MOBILE","2024-04-17","2024-04-20","Italia","Milano","Arredamento","Fiera. Incoming operatori esteri, a contributo","Missione di 2 operatori serbi. Visita alla Fiera e incontri B2B con gli espositori italiani",True
"Iniziative promozionali in Italia e all'estero","Belgrado","MACFRUT","2024-05-08","2024-05-10","Italia","Rimini","Agroalimentare","Fiera. Incoming operatori esteri, a contributo","Missione di 5 operatori serbi. Visita alla Fiera e B2B con gli espositori italiani",True
"Iniziative promozionali in Italia e all'estero","Belgrado","XYLEXPO","2024-05-21","2024-05-24","Italia","Milano","Macchine lavorazione legno","Fiera. Incoming operatori esteri","Missione di 4 operatori serbi. Visita alla Fiera e B2B con gli espositori italiani",True
"Iniziative promozionali in Italia e all'estero","Belgrado","BUSINESS FORUM ITALIA-SERBIA","2024-05-24","2024-05-24","Italia","Trieste","Economia circolare","Forum e B2B","Forum, in collaborazione con l'Ambasciata d'Italia su transizione verde ed economia circolare, con i B2B",True
"Iniziative promozionali in Italia e all'estero","Belgrado","VITIGNO ITALIA","2024-06-02","2024-06-06","Italia","Napoli","Vino","Fiera. Incoming operatori esteri","Missione di 1 operatore serbo. Visita alla Fiera, degustazioni e B2B con gli espositori italiani",True
"Iniziative promozionali in Italia e all'estero","Belgrado","PHYGITAL SOSTAINABILITY EXPO","2024-06-04","2024-06-05","Italia","Roma","Tessile","Conferenza. Incoming operatori esteri","Missione di 2 operatori serbi.",True
"Iniziative promozionali in Italia e all'estero","Belgrado","EXPO RIVA SCHUH","2024-06-15","2024-06-18","Italia","Riva del Garda","Calzature","Fiera. Incoming operatori esteri, a contributo","Missione di 1 operatore serbo. Visita alla Fiera e B2B con gli espositori italiani",True
"Iniziative promozionali in Italia e all'estero","Belgrado","FLORMART","2024-09-25","2024-09-27","Italia","Padova","Florovivaistico","Fiera. Incoming operatori esteri","Missione di 4 operatori serbi. Visita alla Fiera e B2B con gli espositori italiani",True
"Iniziative promozionali in Italia e all'estero","Belgrado","MICAM","2024-09-15","2024-09-17","Italia","Milano","Calzature","Fiera. Incoming operatori esteri a contributo","Missione di 4 operatori serbi. Visita alla Fiera e incontri B2B con gli espositori italiani",True
